"FirstName","LastName","lat","lon","county","city","state","LandValue","DwellingUnitSize","PropertyType","EstHomeValue"
"Landon","Zieme",37.62,-97.53306,"Sedgwick County","Goddard","Kansas","$12000","","Residential","$86600"
"Dudley","Champlin",28.0753,-82.4974,"Hillsborough County","Carrollwood Village","Florida","$5000","1-Single Family Dwelling","Residential","$50500"
"Heriberto","Wolf",40.71528,-93.20993,"Wayne County","Bridgeport","Iowa","$26000","1-Single Family Dwelling","Residential","$237500"
"Tracy","Gorczany",40.54912,-111.14739,"Wasatch County","Woodland","Utah","$15000","","Apartment/Group Living","$132352"
"Pat","Walker",37.71004,-92.8424,"Laclede County","Bennett Springs","Missouri","$10000","1-Single Family Dwelling","Residential","$178000"
"Dwayne","Smitham",45.72149,-98.66305,"Brown County","Township of Franklyn","South Dakota","$23000","1-Single Family Dwelling","Residential","$231300"
"Leopoldo","Bins",35.07954,-96.14056,"Hughes County","Lamar","Oklahoma","$18000","1-Single Family Dwelling","Residential","$171000"
"Monty","Walsh",47.19108,-110.46271,"Judith Basin County","17N10E33CABB01 Well","Montana","","","Apartment/Group Living","$187500"
"Kazuko","Champlin",42.75425,-71.99119,"Cheshire County","Rindge","New Hampshire","","1-Single Family Dwelling","Residential","$217100"
"Blair","Treutel",34.06371,-84.27603,"Fulton County","Alpharetta","Georgia","$6000","1-Single Family Dwelling","Residential","$62500"
"Darlene","Ratke",35.87286,-84.13741,"Knox County","Farragut","Tennessee","$21000","1-Single Family Dwelling","Residential","$177000"
"Lillian","Emard",31.11936,-94.55104,"Angelina County","Manning","Texas","$33000","1-Single Family Dwelling","Residential","$148600"
"Rebecca","Abshire",39.911,-75.1898,"Philadelphia County","Philadelphia","Pennsylvania","$22000","1-Single Family Dwelling","Condominium","$87500"
"Francesco","Heathcote",39.54616,-89.44676,"Christian County","Kincaid","Illinois","","1-Single Family Dwelling","Residential","$104600"
"Tresa","Tillman",36.16512,-82.15985,"Carter County","Backwoods","Tennessee","$6000","1-Single Family Dwelling","Residential","$270100"
"Marcelino","Moore",36.09335,-106.19003,"Rio Arriba County","Chili","New Mexico","$3000","1-Single Family Dwelling","Unknown","$194601"
"Dwight","Kuhlman",32.33842,-108.00448,"Luna County","Clabber Top Hill","New Mexico","$26000","1-Single Family Dwelling","Residential","$274400"
"Toney","Cummings",35.91636,-82.29743,"Yancey County","Burnsville","North Carolina","","1-Single Family Dwelling","Residential","$202700"
"Mose","Monahan",34.28315,-86.59527,"Cullman County","Baileyton","Alabama","","1-Single Family Dwelling","Residential","$362541"
"Nickolas","Emmerich",34.66818,-82.01149,"Spartanburg County","Enoree","South Carolina","$13000","1-Single Family Dwelling","Residential","$210576"
"Georgette","Armstrong",35.66178,-82.58791,"Buncombe County","Asheville","North Carolina","$17000","1-Single Family Dwelling","Residential","$262500"
"Shameka","Steuber",44.81738,-117.38075,"Baker County","Sparta Post Office (historical)","Oregon","$14000","1-Single Family Dwelling","Residential","$217300"
"Dedra","Barrows",35.45754,-80.1064,"Montgomery County","Badin","North Carolina","$5000","1-Single Family Dwelling","Apartment/Group Living","$74200"
"Starla","Zemlak",43.18092,-70.82283,"York County","Dover","Maine","$15000","","Unknown","$165526"
"Stella","Keeling",44.54443,-104.0891,"Crook County","Beulah","Wyoming","$10000","","Residential","$164400"
"Loris","Dickens",40.98255,-83.58215,"Hancock County","Houcktown","Ohio","$10000","1-Single Family Dwelling","Residential","$875000"
"Lilli","Pouros",32.85013,-85.25217,"Chambers County","Valley","Alabama","$15000","1-Single Family Dwelling","Residential","$255000"
"Brynn","Schuppe",47.32001,-105.36277,"Dawson County","Mink (historical)","Montana","$6000","1-Single Family Dwelling","Unknown","$146452"
"Chuck","Champlin",36.26972,-115.10611,"Clark County","North Las Vegas","Nevada","$6000","1-Single Family Dwelling","Residential","$373400"
"Elinor","Kuvalis",26.28193,-80.12898,"Broward County","Pompano Beach","Florida","$13000","1-Single Family Dwelling","Residential","$221600"
"Dominga","Schoen",42.24167,-91.19876,"Jones County","Monticello","Iowa","$9000","","Residential","$137500"
"Jamila","Sipes",42.42222,-84.63583,"Eaton County","Springport","Michigan","$4000","1-Single Family Dwelling","Residential","$187797"
"Rosita","Torp",37.44633,-119.98295,"Mariposa County","Mariposa","California","$18000","1-Single Family Dwelling","Residential","$196300"
"Del","Friesen",32.81494,-88.16079,"Sumter County","Gainesville","Alabama","","1-Single Family Dwelling","Residential","$159000"
"Giovanni","Gusikowski",33.04128,-80.23148,"Dorchester County","Summerville","South Carolina","$13000","1-Single Family Dwelling","Residential","$136300"
"Neal","Prohaska",33.80233,-84.60271,"Cobb County","Mableton","Georgia","$5000","1-Single Family Dwelling","Residential","$169500"
"Melaine","Pfannerstill",36.58919,-103.79385,"Union County","Parks Windmill","New Mexico","$15000","","Residential","$217300"
"Allan","O'Kon",39.60036,-116.00644,"Eureka County","Eureka Airport","Nevada","$26000","","Apartment/Group Living","$181943"
"Roseline","Rodriguez",31.1788,-83.76184,"Colquitt County","Moultrie","Georgia","$26000","1-Single Family Dwelling","Apartment/Group Living","$239100"
"Azalee","Jast",40.91146,-77.44888,"Centre County","Aaronsburg","Pennsylvania","$13000","1-Single Family Dwelling","Apartment/Group Living","$138541"
"Fredric","Witting",35.46708,-80.81424,"Mecklenburg County","Huntersville","North Carolina","$33000","1-Single Family Dwelling","Condominium","$68100"
"Robert","Klocko",40.52812,-83.00769,"Marion County","Beech (historical)","Ohio","$3000","","Residential","$273100"
"Elden","Muller",25.43233,-80.49006,"Miami-Dade County","Homestead","Florida","$9000","1-Single Family Dwelling","Residential","$343800"
"Homer","Smitham",38.03649,-82.09263,"Lincoln County","Harts","West Virginia","$9000","","Unknown","$87500"
"Billie","Hilpert",39.15483,-78.18611,"City of Winchester","Winchester","Virginia","","","Residential","$262500"
"Shannon","Gislason",41.21395,-78.8367,"Jefferson County","Brockway","Pennsylvania","$14000","1-Single Family Dwelling","Residential","$208700"
"Florrie","Turcotte",34.75509,-87.45891,"Colbert County","Bethel","Alabama","","1-Single Family Dwelling","Residential","$195100"
"Erik","Boehm",43.17397,-73.03566,"Bennington County","Manchester Center","Vermont","$23000","1-Single Family Dwelling","Residential","$405900"
"Keely","Schumm",36.11957,-81.70316,"Caldwell County","Blowing Rock","North Carolina","","1-Single Family Dwelling","Residential","$296900"
"Hilario","Bashirian",35.22506,-97.64643,"McClain County","Newcastle","Oklahoma","","1-Single Family Dwelling","Residential","$157900"
"Merlene","Bernier",39.25149,-77.83972,"Jefferson County","Charles Town","West Virginia","$7000","1-Single Family Dwelling","Residential","$199783"
"Samira","Hoppe",36.51951,-85.26663,"Overton County","Taylors Crossroads","Tennessee","","1-Single Family Dwelling","Residential","$320000"
"Eddie","Hauck",42.98742,-111.53356,"Caribou County","Chubb Flat","Idaho","","1-Single Family Dwelling","Residential","$112500"
"Lucien","Bruen",31.92321,-86.21191,"Crenshaw County","Taylor","Alabama","","1-Single Family Dwelling","Residential","$113100"
"Efrain","Hermiston",35.58199,-105.37279,"San Miguel County","San Geronimo","New Mexico","$12000","1-Single Family Dwelling","Residential","$90300"
"Simon","Harris",32.4875,-93.199,"Webster Parish","Dubberly","Louisiana","$11000","1-Single Family Dwelling","Residential","$149800"
"Lyle","Huels",42.31914,-104.73052,"Platte County","Guernsey","Wyoming","$20000","1-Single Family Dwelling","Residential","$217500"
"Federico","Hills",43.24335,-86.23339,"Muskegon County","Muskegon","Michigan","$20000","1-Single Family Dwelling","Residential","$148600"
"Dacia","Pagac",29.8233,-85.30884,"Gulf County","Port Saint Joe","Florida","$11000","1-Single Family Dwelling","Residential","$219400"
"Elisha","Langworth",43.42642,-87.87698,"Ozaukee County","Port Washington","Wisconsin","$11000","1-Single Family Dwelling","Residential","$88900"
"Broderick","Hudson",34.19348,-81.00981,"Richland County","Blythewood","South Carolina","$7000","1-Single Family Dwelling","Residential","$425200"
"Minh","Kuvalis",41.49331,-104.38718,"Laramie County","Meriden","Wyoming","$22000","1-Single Family Dwelling","Apartment/Group Living","$91704"
"Dewayne","Murray",32.08761,-104.58467,"Eddy County","Yucca Canyon","New Mexico","","1-Single Family Dwelling","Residential","$175900"
"Hedy","Parisian",37.80927,-81.98123,"Logan County","Rossmore","West Virginia","","1-Single Family Dwelling","Residential","$137500"
"Burma","Nienow",40.5851,-75.53963,"Lehigh County","Allentown","Pennsylvania","$11000","5-9","Residential","$301100"
"Leonardo","Davis",34.3981,-79.8801,"Darlington County","Dovesville","South Carolina","$9000","","Residential","$137500"
"Leonor","Wiegand",33.53094,-97.07945,"Cooke County","Burns City","Texas","$3000","10-19","Apartment/Group Living","$162400"
"Jeffery","Gislason",37.88336,-95.97781,"Greenwood County","Quincy","Kansas","","1-Single Family Dwelling","Residential","$101300"
"Sherri","Kertzmann",37.57105,-122.33164,"San Mateo County","San Mateo","California","$10000","1-Single Family Dwelling","Residential","$131000"
"Clarine","Auer",43.12954,-83.22993,"Lapeer County","Five Lakes","Michigan","$19000","1-Single Family Dwelling","Apartment/Group Living","$464600"
"Lauren","Lockman",33.27539,-86.80804,"Shelby County","Pelham","Alabama","$14000","1-Single Family Dwelling","Condominium","$87500"
"Pilar","Kutch",43.31278,-75.37456,"Oneida County","Westernville","New York","$36000","1-Single Family Dwelling","Apartment/Group Living","$136900"
"Manual","McLaughlin",33.70871,-85.85385,"Calhoun County","Saks","Alabama","$3000","1-Single Family Dwelling","Unknown","$242977"
"Dollie","O'Conner",41.99669,-88.15424,"Cook County","Hanover Park","Illinois","","1-Single Family Dwelling","Residential","$100100"
"Jerold","Hilll",38.30933,-83.20209,"Carter County","Olive Hill","Kentucky","","","Residential","$282800"
"Amparo","Satterfield",40.64862,-100.97043,"Hayes County","Marengo","Nebraska","$14000","5-9","Apartment/Group Living","$146452"
"Dallas","Johns",41.79027,-95.95251,"Harrison County","Orson","Iowa","$8000","","Residential","$112500"
"Omar","Beatty",39.92233,-76.66686,"York County","York","Pennsylvania","$11000","1-Single Family Dwelling","Residential","$212500"
"Justin","Kuhic",38.94622,-77.07803,"Washington County","Washington, D.C.","Washington, D.C.","","1-Single Family Dwelling","Residential","$116421"
"Chris","McGlynn",43.16907,-113.37056,"Blaine County","Park Butte","Idaho","","1-Single Family Dwelling","Residential","$425800"
"Vincenzo","Zieme",37.23348,-77.44832,"Chesterfield County","Petersburg","Virginia","$14000","1-Single Family Dwelling","Residential","$237500"
"Rosario","Schumm",45.20193,-87.0915,"Door County","Sister Bay","Wisconsin","$15000","1-Single Family Dwelling","Residential","$171000"
"Bobby","Bruen",32.84653,-83.63712,"Bibb County","Macon","Georgia","$10000","1-Single Family Dwelling","Unknown","$228181"
"Carlton","Roob",35.52272,-96.38807,"Okfuskee County","Castle","Oklahoma","$9000","","Residential","$186800"
"Filiberto","McClure",32.48347,-90.04397,"Madison County","Madison","Mississippi","","","Residential","$354000"
"Charise","Bahringer",43.31675,-76.4161,"Oswego County","Fulton","New York","$9000","1-Single Family Dwelling","Residential","$245700"
"Patrick","Osinski",38.98483,-76.51857,"Anne Arundel County","Annapolis","Maryland","$13000","1-Single Family Dwelling","Condominium","$262500"
"Elli","Hartmann",42.79731,-70.82866,"Essex County","Newburyport","Massachusetts","","5-9","Unknown","$166911"
"Wan","Herzog",33.63868,-108.36959,"Catron County","Gene Tank","New Mexico","","1-Single Family Dwelling","Residential","$140800"
"Ashli","Kautzer",39.36726,-76.71556,"Baltimore County","Pikesville","Maryland","","1-Single Family Dwelling","Residential","$145700"
"Simon","Mohr",31.90461,-94.67632,"Rusk County","Mount Enterprise","Texas","","1-Single Family Dwelling","Residential","$420700"
"Jeffrey","Lind",32.58101,-80.15991,"Charleston County","Seabrook Island","South Carolina","$8000","1-Single Family Dwelling","Residential","$197700"
"Eugenio","Heller",40.32921,-91.91045,"Clark County","Fairmont","Missouri","","1-Single Family Dwelling","Residential","$258400"
"Phillip","Flatley",34.93453,-84.10352,"Union County","Thomas Mill","Georgia","$9000","","Residential","$193700"
"Caridad","Emmerich",35.68425,-93.24184,"Johnson County","Fort Douglas","Arkansas","","1-Single Family Dwelling","Residential","$105900"
"Philip","Wolff",47.99546,-116.56492,"Bonner County","Bayview","Idaho","$2000","1-Single Family Dwelling","Residential","$127900"
"Matthew","Borer",35.24563,-84.79522,"Bradley County","Bellefounte","Tennessee","$13000","1-Single Family Dwelling","Residential","$97200"
"Hung","Olson",39.34066,-76.50552,"Baltimore County","Essex","Maryland","$42000","1-Single Family Dwelling","Residential","$137500"
"Pauletta","Nolan",45.60826,-112.92587,"Beaverhead County","Lion City (historical)","Montana","$7000","1-Single Family Dwelling","Residential","$112400"
"Graig","Effertz",41.12592,-76.88163,"Northumberland County","Dewart","Pennsylvania","$11000","1-Single Family Dwelling","Residential","$118200"
"Dot","Kohler",30.65492,-93.41239,"Beauregard Parish","Singer","Louisiana","","1-Single Family Dwelling","Residential","$149700"
"Reynaldo","Mayer",44.31665,-99.59345,"Hyde County","Township of Pratt","South Dakota","$6000","1-Single Family Dwelling","Residential","$195624"
"Leilani","Corwin",41.9878,-88.47508,"Kane County","Lily Lake","Illinois","","1-Single Family Dwelling","Apartment/Group Living","$93124"
"Johnsie","Predovic",37.25066,-82.61877,"Pike County","Lick Fork (historical)","Kentucky","","1-Single Family Dwelling","Residential","$162239"
"Enoch","Parisian",41.75229,-78.47224,"McKean County","Smethport","Pennsylvania","$28000","","Residential",""
"Ismael","Treutel",40.65804,-104.95136,"Larimer County","Wellington","Colorado","","1-Single Family Dwelling","Residential","$210900"
"Curtis","O'Reilly",34.39092,-86.01859,"DeKalb County","Geraldine","Alabama","$5000","1-Single Family Dwelling","Residential","$244100"
"Tuan","Johns",36.60487,-76.00437,"City of Virginia Beach","Campbells Landing","Virginia","$4000","","Residential","$132100"
"Cody","Stoltenberg",28.5554,-81.5978,"Orange County","Winter Garden","Florida","","","Residential","$187500"
"Vivienne","Cruickshank",41.34651,-81.36866,"Portage County","Aurora","Ohio","$9000","1-Single Family Dwelling","Residential","$427700"
"Bernetta","Bode",40.88062,-79.95645,"Butler County","Butler","Pennsylvania","","1-Single Family Dwelling","Residential","$96315"
"Johnette","Bosco",39.54616,-89.44676,"Christian County","Kincaid","Illinois","","1-Single Family Dwelling","Residential","$254400"
"Lenard","Yost",31.97654,-88.98116,"Jasper County","Davisville (historical)","Mississippi","","1-Single Family Dwelling","Residential","$104600"
"Emanuel","Reichert",35.5505,-91.40617,"Independence County","Olyphant","Arkansas","","1-Single Family Dwelling","Residential","$116100"
"Robbie","Sanford",36.74015,-76.56551,"City of Suffolk","Suffolk","Virginia","$22000","","Residential","$217200"
"Gordon","Jones",57.26756,-132.97033,"Petersburg Borough","Farragut Lake","Alaska","$23000","2-Duplex","Residential","$166200"
"Mora","Osinski",33.83675,-110.26198,"Gila County","Cedar Creek Crossing","Arizona","$16000","1-Single Family Dwelling","Residential","$227600"
"Dionna","Kozey",39.00366,-90.93153,"Lincoln County","Troy","Missouri","$30000","1-Single Family Dwelling","Apartment/Group Living","$116421"
"Kris","Jacobson",33.78779,-117.85311,"Orange County","Orange","California","$12000","","Residential","$165526"
"Kelly","Hilll",44.52056,-85.28894,"Kalkaska County","Fife Lake","Michigan","$14000","1-Single Family Dwelling","Apartment/Group Living","$124341"
"Duane","Conroy",42.45005,-89.0631,"Winnebago County","Rockton","Illinois","$20000","1-Single Family Dwelling","Residential","$107300"
"Asa","Jakubowski",45.69194,-104.96053,"Powder River County","02S54E01DC_001 Well","Montana","$23000","1-Single Family Dwelling","Residential","$58700"
"Yahaira","Cole",31.71402,-102.00986,"Midland County","Benge Corner","Texas","$9000","1-Single Family Dwelling","Unknown","$224936"
"Deann","Boehm",30.42631,-88.89086,"Harrison County","D'Iberville","Mississippi","$15000","","Residential","$141100"
"Raleigh","McCullough",48.35608,-113.65316,"Flathead County","Pinnacle","Montana","$8000","","Residential","$820500"
"Matt","Koss",46.70819,-119.80115,"Grant County","Christensen Brothers Wahluke Strip","Washington","$18000","1-Single Family Dwelling","Residential","$108700"
"Jonell","Bashirian",35.7368,-81.53982,"Burke County","Valdese","North Carolina","$17000","","Residential","$164100"
"Faustino","Moore",48.13607,-114.04261,"Flathead County","Negro Prairie (historical)","Montana","$3000","","Apartment/Group Living","$87500"
"Shane","Ledner",33.9597,-80.397,"Sumter County","Sumter","South Carolina","$6000","1-Single Family Dwelling","Residential","$165200"
"Alfonzo","Stehr",39.84078,-112.38523,"Juab County","Allah Mine","Utah","$10000","1-Single Family Dwelling","Residential","$243300"
"Carrol","Armstrong",32.74016,-81.90622,"Jenkins County","Paramore Hill","Georgia","","1-Single Family Dwelling","Unknown","$217134"
"Leslie","Prohaska",41.62448,-73.88258,"Dutchess County","Myers Corner","New York","$9000","1-Single Family Dwelling","Residential","$103400"
"Ginny","Kassulke",32.14821,-89.87925,"Rankin County","Fink Bine (historical)","Mississippi","$8000","","Residential","$476900"
"Merlene","Berge",29.88356,-96.97748,"Fayette County","Marly","Texas","$43000","1-Single Family Dwelling","Apartment/Group Living","$91704"
"Errol","Mayer",39.24298,-117.97262,"Churchill County","Middlegate","Nevada","$5000","1-Single Family Dwelling","Residential","$619500"
"Candy","Hayes",29.31925,-89.39272,"Plaquemines Parish","Boothville-Venice","Louisiana","","","Residential","$192700"
"Venice","Daugherty",38.43783,-90.58179,"Jefferson County","Byrnes Mill","Missouri","$5000","50-100","Residential","$275600"
"Ralph","Macejkovic",31.08851,-97.62863,"Bell County","Harker Heights","Texas","","1-Single Family Dwelling","Residential","$87500"
"Victor","Hand",44.09441,-94.34496,"Blue Earth County","Madelia","Minnesota","","1-Single Family Dwelling","Residential","$176400"
"Brad","Pouros",33.65316,-86.64777,"Jefferson County","Chalkville","Alabama","","1-Single Family Dwelling","Condominium","$187500"
"Luke","Erdman",40.51198,-89.70205,"Tazewell County","South Pekin","Illinois","$6000","1-Single Family Dwelling","Apartment/Group Living",""
"Jeanmarie","Lubowitz",40.43189,-111.93077,"Utah County","Bluffdale","Utah","$6000","1-Single Family Dwelling","Residential","$398500"
"Eustolia","Walker",43.54514,-70.8407,"York County","Shapleigh","Maine","","1-Single Family Dwelling","Residential","$165600"
"Parthenia","Cartwright",46.67151,-120.98924,"Yakima County","Rimrock Retreat","Washington","","1-Single Family Dwelling","Residential","$91800"
"Casandra","Gorczany",39.911,-75.1898,"Philadelphia County","Philadelphia","Pennsylvania","","1-Single Family Dwelling","Residential","$285200"
"Julissa","DuBuque",34.0114,-117.66672,"San Bernardino County","Chino","California","$14000","1-Single Family Dwelling","Residential","$427500"
"Damon","Wiza",41.4892,-87.43282,"Lake County","Schererville","Indiana","","1-Single Family Dwelling","Residential","$239900"
"Margot","Gleichner",36.05311,-97.07392,"Payne County","Stillwater","Oklahoma","$22000","1-Single Family Dwelling","Residential","$197753"
"Charlie","Braun",40.07449,-90.71818,"Brown County","Scotts Mill","Illinois","$25000","1-Single Family Dwelling","Residential","$166600"
"Johnie","Sporer",41.54145,-78.87337,"Elk County","Threemile","Pennsylvania","","","Residential","$237500"
"Lino","Grady",21.50131,-157.89785,"Honolulu County","Kahalu‘u","Hawaii","$30000","1-Single Family Dwelling","Residential","$164000"
"Augustina","McGlynn",38.03649,-82.09263,"Lincoln County","Harts","West Virginia","$7000","5-9","Residential","$118500"
"Tran","Stehr",41.04668,-96.9753,"Butler County","Dwight","Nebraska","$12000","1-Single Family Dwelling","Residential","$271980"
"Bethany","Farrell",40.32981,-75.99438,"Berks County","Reading","Pennsylvania","","1-Single Family Dwelling","Residential","$147600"
"Leisa","Jerde",34.25677,-90.83955,"Phillips County","Fair Landing","Arkansas","$15000","1-Single Family Dwelling","Residential","$172200"
"Susy","Murazik",33.16541,-93.33739,"Columbia County","Hunt","Arkansas","$15000","","Residential","$224936"
"Ezra","Jast",35.20564,-88.42615,"McNairy County","Adamsville","Tennessee","$18000","1-Single Family Dwelling","Residential","$245300"
"Fredric","Sporer",35.36146,-86.83972,"Marshall County","Cornersville","Tennessee","","1-Single Family Dwelling","Residential","$114300"
"Rogelio","Hettinger",37.91994,-89.82598,"Randolph County","Chester","Illinois","","1-Single Family Dwelling","Residential","$187500"
"Reyna","Mueller",41.6595,-81.45452,"Lake County","Eastlake","Ohio","$9000","","Residential","$654800"
"Gertrude","Cassin",39.99805,-95.00525,"Holt County","Fillmore","Missouri","","1-Single Family Dwelling","Residential","$325000"
"Laurence","Quigley",35.18182,-79.46587,"Moore County","Pinehurst","North Carolina","$14000","1-Single Family Dwelling","Apartment/Group Living","$116000"
"Nelle","Prohaska",33.59589,-109.2423,"Greenlee County","Steeple Mesa Seventy-Three Trail","Arizona","","1-Single Family Dwelling","Residential","$276900"
"Joann","Waelchi",42.07026,-94.29135,"Greene County","Gravel Pit","Iowa","$18000","1-Single Family Dwelling","Residential","$155400"
"Anton","Miller",33.05262,-91.28956,"Chicot County","Indian","Arkansas","$23000","1-Single Family Dwelling","Residential","$182142"
"Forrest","Mertz",30.07344,-95.99225,"Waller County","Prairie View","Texas","$14000","1-Single Family Dwelling","Residential","$161900"
"Viki","McLaughlin",40.25838,-85.67613,"Madison County","Alexandria","Indiana","$5000","1-Single Family Dwelling","Apartment/Group Living","$202157"
"Derrick","Towne",34.45711,-78.86336,"Columbus County","Piney Forest Crossroads","North Carolina","$10000","","Apartment/Group Living","$104166"
"Ji","Paucek",35.87368,-86.72639,"Williamson County","Hillwood Acres","Tennessee","$20000","1-Single Family Dwelling","Residential","$166600"
"Clemente","Trantow",46.85993,-113.88177,"Missoula County","Bonner-West Riverside","Montana","$12000","1-Single Family Dwelling","Residential","$284100"
"Merna","Cassin",35.22314,-86.00998,"Franklin County","Decherd","Tennessee","$7000","1-Single Family Dwelling","Residential","$270600"
"Nannette","Jewess",41.53652,-123.10282,"Siskiyou County","Campbell Lake 180 Dam","California","$33000","1-Single Family Dwelling","Residential","$110900"
"Russell","Rutherford",43.41335,-82.84438,"Sanilac County","Sandusky","Michigan","$19000","1-Single Family Dwelling","Condominium","$72500"
"Porter","Schimmel",33.1895,-110.21787,"Graham County","Calva","Arizona","$9000","1-Single Family Dwelling","Unknown","$181943"
"Saul","Smith",40.84649,-74.1107,"Bergen County","Passaic","New Jersey","$6000","1-Single Family Dwelling","Residential","$131000"
"Joannie","Wintheiser",35.03509,-89.67175,"Shelby County","Collierville","Tennessee","$17000","","Residential","$265900"
"Eloisa","Torphy",33.27761,-86.43109,"Talladega County","Childersburg","Alabama","$15000","1-Single Family Dwelling","Condominium","$125500"
"Leia","Bergnaum",34.91508,-87.5953,"Lauderdale County","Killen","Alabama","$24000","1-Single Family Dwelling","Condominium","$103800"
"Eboni","Kutch",48.77349,-118.14218,"Ferry County","Godfrey (historical)","Washington","$9000","1-Single Family Dwelling","Residential","$335700"
"Emmett","Ebert",24.78236,-81.27175,"Monroe County","West Bahia Honda Key","Florida","$23000","1-Single Family Dwelling","Residential","$124500"
"Adolfo","Bashirian",44.92546,-115.30066,"Valley County","Midnight","Idaho","$16000","","Apartment/Group Living","$123800"
"Michael","Padberg",40.7801,-75.09962,"Warren County","Belvidere","New Jersey","$7000","1-Single Family Dwelling","Residential","$78200"
"Patrick","Bins",35.53232,-83.48655,"Swain County","Solola Valley","North Carolina","$10000","1-Single Family Dwelling","Residential","$162500"
"Rosario","Kuhic",39.14427,-76.81692,"Howard County","Savage","Maryland","$3000","1-Single Family Dwelling","Residential","$289500"
"Lee","Wyman",36.71006,-88.60921,"Graves County","Mayfield","Kentucky","","1-Single Family Dwelling","Apartment/Group Living","$12500"
"Timothy","Tillman",39.04168,-99.50094,"Ellis County","Township of East Hamilton (historical)","Kansas","$14000","1-Single Family Dwelling","Residential","$203600"
"Walter","Schmeler",30.27187,-82.12978,"Baker County","Macclenny","Florida","$9000","1-Single Family Dwelling","Residential","$47300"
"Emanuel","Abbott",31.06268,-87.87055,"Baldwin County","Vaughn","Alabama","$14000","1-Single Family Dwelling","Residential","$187500"
"Vivienne","Purdy",42.9733,-94.25441,"Kossuth County","Galbraith","Iowa","","1-Single Family Dwelling","Apartment/Group Living","$119330"
"Klara","Nienow",40.32981,-75.99438,"Berks County","Reading","Pennsylvania","$4000","1-Single Family Dwelling","Residential","$337700"
"Walter","Daniel",37.28129,-83.19155,"Perry County","Hazard","Kentucky","$60000","1-Single Family Dwelling","Residential","$27000"
"Lavone","Shields",38.79289,-77.51916,"Prince William County","Bull Run","Virginia","","1-Single Family Dwelling","Residential","$128200"
"Clemente","Nikolaus",32.67437,-101.42065,"Borden County","Prairie Hill Tank","Texas","","","Residential","$137500"
"Jack","Mann",34.34705,-82.62263,"Anderson County","Iva","South Carolina","$14000","1-Single Family Dwelling","Residential","$141700"
"Ji","Koepp",30.6363,-91.13733,"East Baton Rouge Parish","Zachary","Louisiana","$21000","1-Single Family Dwelling","Condominium","$112500"
"Reina","Leuschke",37.90853,-109.12074,"San Juan County","Ucolo","Utah","$16000","1-Single Family Dwelling","Apartment/Group Living","$236000"
"Nana","Upton",38.64554,-108.60954,"Mesa County","Dominguez Ridge","Colorado","","1-Single Family Dwelling","Residential","$239500"
"Rudy","Jenkins",38.09725,-95.9661,"Greenwood County","Gridley","Kansas","$23000","","Residential","$179200"
"Kiersten","Wilkinson",39.15483,-78.18611,"City of Winchester","Winchester","Virginia","","","Residential","$261500"
"Stacy","Denesik",27.29418,-82.56608,"Sarasota County","Sarasota","Florida","","1-Single Family Dwelling","Residential","$206300"
"Hanh","Walker",46.32687,-113.35312,"Granite County","Philipsburg","Montana","$14000","1-Single Family Dwelling","Residential","$122900"
"Elfreda","Pfeffer",32.73791,-97.04417,"Tarrant County","Arlington","Texas","$14000","","Residential","$145000"
"Tobias","Klein",46.21028,-106.3428,"Rosebud County","05N43E04DDDB01 Well","Montana","","","Residential","$189700"
"Aurore","Brekke",31.40427,-99.24472,"McCulloch County","Military Crossing","Texas","$8000","","Unknown","$224936"
"Raul","Wolff",36.82123,-81.70123,"Smyth County","Chilhowie","Virginia","$20000","1-Single Family Dwelling","Residential","$237500"
"Machelle","Mann",45.92054,-107.31562,"Big Horn County","Sawmill Draw","Montana","$31000","1-Single Family Dwelling","Residential","$161300"
"Isa","Abshire",44.82332,-105.7189,"Campbell County","Mill Iron Cross Dam","Wyoming","$19000","1-Single Family Dwelling","Residential","$233500"
"Marry","Brown",34.21539,-89.98703,"Panola County","Courtland","Mississippi","$20000","1-Single Family Dwelling","Residential","$60525"
"Tracy","Quitzon",38.66674,-83.79992,"Mason County","Maysville","Kentucky","$22000","1-Single Family Dwelling","Residential","$367500"
"Clarita","Lockman",44.42885,-95.54251,"Redwood County","Milroy","Minnesota","","1-Single Family Dwelling","Residential","$265300"
"Barrett","Cartwright",35.87286,-84.13741,"Knox County","Farragut","Tennessee","$4000","1-Single Family Dwelling","Apartment/Group Living","$87500"
"Billi","Mayer",32.14508,-110.67786,"Pima County","Deer Camp","Arizona","","1-Single Family Dwelling","Residential","$264000"
"Christeen","Fadel",31.62545,-92.98933,"Natchitoches Parish","Natchez","Louisiana","","1-Single Family Dwelling","Residential","$78200"
"Lloyd","Abbott",38.84213,-122.98889,"Sonoma County","Cloverdale","California","$15000","1-Single Family Dwelling","Residential","$189200"
"Lavelle","Collier",44.84067,-68.71339,"Penobscot County","Bangor","Maine","$9000","1-Single Family Dwelling","Residential","$262500"
"Epifania","Jakubowski",42.9733,-94.25441,"Kossuth County","Galbraith","Iowa","","1-Single Family Dwelling","Unknown","$178595"
"Michael","Kunde",46.45992,-114.67622,"Idaho County","Kube Creek","Idaho","$10000","1-Single Family Dwelling","Residential","$68400"
"Merle","Fritsch",32.91679,-97.1839,"Tarrant County","Keller","Texas","$3000","1-Single Family Dwelling","Apartment/Group Living","$214600"
